Species ;Min. depth ;Max. depth 
Favites rotundata ;1 ;20 
Favites spinosa ;0 ;10 
Favites stylifera ;3 ;20 
Favites valenciennesi ;1 ;30 
Favites vasta ;1 ;20 
Galaxea acrhelia ;3 ;15 
Galaxea cryptoramosa ;5 ;15 
Galaxea fascicularis ;1 ;15 
Galaxea horrescens ;5 ;25 
Galaxea longisepta ;5 ;20 
Galaxea paucisepta ;5 ;20 
Goniastrea columella ;2 ;15 
Goniastrea edwardsi ;0 ;30 
Goniastrea favulus ;0 ;15 
Goniastrea minuta ;1 ;15 
Goniastrea pectinata ;0 ;40 
Goniastrea ramosa ;1 ;15 
Goniastrea retiformis ;0 ;20 
Goniastrea thecata ;0 ;15 
Goniopora albiconus ;3 ;30 
Goniopora burgosi ;2 ;30 
Goniopora cellulosa ;3 ;20 
Goniopora ciliatus ;1 ;30 
Goniopora columna ;2 ;15 
Goniopora eclipsensis ;2 ;20 
Goniopora fruticosa ;5 ;25 
Goniopora lobata ;0.5 ;30 
Goniopora minor ;0.5 ;30 
Goniopora norfolkensis ;1 ;30 
Goniopora palmensis ;1 ;20 
Goniopora pandoraensis ;1 ;20 
Goniopora pendulus ;1 ;20 
Goniopora planulata ;2 ;20 
Goniopora savignyi ;3 ;20 
Goniopora somaliensis ;0.5 ;30 
Goniopora stokesi ;2 ;30 
Goniopora sultani ;3 ;20 
Goniopora tantillus ;4 ;22 
Goniopora tenella ;3 ;20 
Gyrosmilia interrupta ;1 ;30 
Halomitra clavator ;5 ;25 
Halomitra pileus ;3 ;25 
Heliofungia actiniformis ;1 ;25 
Heliofungia fralinae ;3 ;27 
Helioseris cucullata ;10 ;40 
Herpolitha limax ;1 ;30 
Herpolitha limax ;1 ;30 
Heterocyathus aequicostatus ;15 ;100 
Heterocyathus sulcatus ;15 ;100 
Heteropsammia cochlea ;10 ;100 
Heteropsammia eupsammides ;15 ;38 
Homophyllia australis ;10 ;40 
Homophyllia bowerbanki ;2 ;20 
Homophyllia hillae ;2 ;20 
Hydnophora bonsai ;5 ;15 
Hydnophora grandis ;2 ;25 
Hydnophora microconos ;1 ;35 
Hydnophora pilosa ;5 ;30 
Hydnophora rigida ;0 ;40 
Hydnophyllia wilsoni ;3 ;15 
Indophyllia macassarensis ;20 ;25 
Isophyllia rigida ;3 ;20 
Isophyllia sinuosa ;1 ;20 
Isopora brueggemanni ;1 ;15 
Isopora crateriformis ;1 ;15 
Isopora cuneata ;0 ;15 
Isopora elizabethensis ;1 ;20 
Isopora palifera ;2 ;20 
Isopora togianensis ;8 ;20 
Leptastrea aequalis ;2 ;20 
Leptastrea bewickensis ;3 ;20 
Leptastrea inaequalis ;0 ;20 
Leptastrea pruinosa ;0 ;40 
Leptastrea purpurea ;0 ;30 
Leptoria irregularis ;2 ;20 
Leptoria phrygia ;0 ;30 
Leptoseris amitoriensis ;15 ;30 
Leptoseris cailleti ;30 ;150 
Leptoseris foliosa ;15 ;30 
Leptoseris solida ;10 ;30 
Lithophyllon ranjithi ;10 ;20 
Lithophyllon repanda ;1 ;30 
Lithophyllon scabra ;1 ;24 
Lithophyllon spinifer ;18 ;40 
Lithophyllon spinifer ;18 ;40 
Lithophyllon spinifer ;18 ;40 
Lithophyllon spinifer ;18 ;40 
Lithophyllon undulatum ;1 ;20 
Lobophyllia corymbosa ;2 ;40 
Lobophyllia dentata ;2 ;10 
Lobophyllia diminuta ;1 ;10 
Lobophyllia flabelliformis ;3 ;30 
Lobophyllia hataii ;2 ;40 
Lobophyllia hemprichii ;1 ;50 
Lobophyllia pachysepta ;3 ;30 
Lobophyllia robusta ;2 ;40 
Lobophyllia serrata ;4 ;15 
Madracis asanoi ;50 ;183 
Madracis asperula ;2 ;64 
Madracis auretenra ;3 ;40 
Madracis carmabi ;20 ;40 
Madracis decactis ;5 ;98 
Madracis formosa ;15 ;30 
Madracis kirbyi ;1 ;60 
Madracis pharensis ;5 ;99 
Madracis senaria ;12 ;30 
Manicina areolata ;1 ;65 
Meandrina braziliensis ;5 ;15 
Meandrina danae ;5 ;80 
Meandrina meandrites ;0.5 ;80 
Merulina ampliata ;0 ;50 
Merulina scabricula ;1 ;40 
Merulina scheeri ;2 ;45 
Merulina triangularis ;3 ;20 
Micromussa amakusensis ;1 ;30 
Micromussa diminuta ;3 ;15 
Micromussa lordhowensis ;1 ;30 
Micromussa minuta ;1 ;30 
Micromussa multipunctata ;1 ;15 
Montastraea cavernosa ;0.5 ;113 
Montipora altasepta ;1 ;10 
Montipora angulata ;1 ;20 
Montipora aspergillus ;1 ;10 
Montipora australiensis ;2 ;30 
Montipora cactus ;2 ;20 
Montipora calcarea ;0 ;20 
Montipora caliculata ;1 ;20 
Montipora capitata ;0 ;20 
Montipora capricornis ;2 ;20 
Montipora cebuensis ;2 ;20 
Montipora circumvallata ;2 ;20 
Montipora cocosensis ;0 ;15 
Montipora confusa ;1 ;30 
Montipora corbettensis ;2 ;20 
Montipora crassituberculata ;1 ;20 
Montipora cryptus ;0 ;20 
Montipora delicatula ;2 ;15 
Montipora digitata ;0 ;5 
Montipora dilatata ;1 ;10 
Montipora echinata ;1 ;10 
Montipora efflorescens ;1 ;20 
Montipora effusa ;1 ;20 
Montipora flabellata ;1 ;10 
Montipora florida ;2 ;20 
Montipora foveolata ;1 ;25 
Montipora friabilis ;1 ;20 
Montipora gaimardi ;2 ;15 
Montipora grisea ;3 ;20 
Montipora hemispherica ;1 ;20 
Montipora hirsuta ;0 ;15 
Montipora hispida ;1 ;40 
Montipora hodgsoni ;1 ;20 
Montipora hoffmeisteri ;2 ;40 
Montipora incrassata ;1 ;30 
Montipora informis ;1 ;20 
Montipora kellyi ;5 ;15 
Montipora lobulata ;1 ;20 
Montipora mactanensis ;2 ;20 
Montipora malampaya ;0 ;15 
Montipora mollis ;1 ;40 
Montipora monasteriata ;1 ;40 
Montipora niugini ;5 ;35 
Montipora nodosa ;1 ;30 
Montipora orientalis ;2 ;20 
Montipora pachytuberculata ;1 ;10 
Montipora palawanensis ;2 ;40 
Montipora patula ;1 ;10 
Montipora peltiformis ;1 ;30 
Montipora porites ;2 ;25 
Montipora samarensis ;0 ;15 
Montipora saudii ;1 ;8 
Montipora setosa ;2 ;20 
Montipora spongiosa ;1 ;20 
Montipora spongodes ;1 ;25 
Montipora spumosa ;1 ;30 
Montipora stellata ;0 ;20 
Montipora taiwanensis ;0 ;2 
Montipora tuberculosa ;0 ;40 
Montipora turgescens ;0 ;30 
Montipora turtlensis ;1 ;20 
Montipora undata ;2 ;30 
Montipora venosa ;0 ;30 
Montipora verruculosa ;2 ;20 
Montipora vietnamensis ;1 ;15 
Moseleya latistellata ;0 ;10 
Mussa angulosa ;5 ;30 
Mycedium steeni ;5 ;30 
Mycedium umbra ;5 ;30 
Mycetophyllia aliciae ;10 ;85 
Mycetophyllia danaana ;15 ;30 
Mycetophyllia ferox ;5 ;30 
Mycetophyllia lamarckiana ;10 ;75 
Mycetophyllia reesi ;20 ;76 
Nemenzophyllia turbida ;8 ;30 
Oculina diffusa ;0.5 ;30 
Oculina patagonica ;0.5 ;10 
Oculina robusta ;0 ;20 
Oculina tenella ;25 ;75 
Oculina valenciennesi ;5 ;30 
Oculina varicosa ;3 ;152 
Orbicella annularis ;0.5 ;82 
Orbicella faveolata ;0.5 ;40 
Orbicella franksi ;5 ;50 
Oulastrea crispata ;0 ;10 
Oulophyllia bennettae ;1 ;30 
Oulophyllia levis ;3 ;30 
Oxypora convoluta ;5 ;30 
Oxypora crassispinosa ;3 ;30 
Oxypora glabra ;3 ;40 
Oxypora lacera ;3 ;30 
Pachyseris foliosa ;10 ;25 
Pachyseris gemmae ;10 ;25 
Pachyseris involuta ;5 ;15 
Pachyseris rugosa ;5 ;20 
Palauastrea ramosa ;1 ;30 
Paragoniastrea australensis ;0 ;40 
Paragoniastrea deformis ;3 ;20 
Paragoniastrea russelli ;1 ;25 
Paramontastraea peresi ;2 ;25 
Paramontastraea salebrosa ;2 ;20 
Paramontastraea serageldini ;1 ;25 
Parascolymia rowleyensis ;2 ;40 
Parascolymia vitiensis ;5 ;50 
Pavona bipartita ;3 ;20 
